epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
11,0.9928869420744261,0.0026525924230826566,0.9193354960059821,0.030104557098234067,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
12,0.99309948360299,0.0025813781817318523,0.9194512408400651,0.0315828380650349,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
13,0.9932877347421798,0.002515886092635679,0.9193901532887435,0.03177858552631585,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
14,0.9933666787546813,0.0024703802834783145,0.9194158743629842,0.03184237800050185,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
15,0.9936298254416641,0.0023800516805396184,0.9194898224514261,0.03156452451688199,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
16,0.9965831411913995,0.0012307331738454495,0.9243189541401111,0.029244306120395722,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
17,0.9980972468995245,0.0006884079232783401,0.9244925713912355,0.029622322726786835,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
18,0.9978037370658995,0.0007890960990343279,0.9242064244403082,0.029565648910142447,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
19,0.9973766297273119,0.0009057714978174059,0.9245729497482377,0.029768056467964592,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
20,0.9981296341653493,0.0006881327438151587,0.9227885502227915,0.03013848917400609,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
21,0.9981134404995592,0.0006884932245579176,0.9218111494016462,0.03052617127434489,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
22,0.9982247718214408,0.0006492583088380397,0.9244057627656733,0.030022613030059386,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
23,0.9982531106866234,0.0006376760303975961,0.9243896870942729,0.029942119903734042,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
24,0.9978887537058473,0.0007628396322757825,0.9243285995429513,0.029087755272417717,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
25,0.9980830774400279,0.0007039869914846177,0.9245825951510779,0.02867211251900292,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
26,0.9983138368500861,0.0006034125666831902,0.9242996633344306,0.029732323663767338,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
27,0.9982834737572548,0.0006154625082176716,0.9245825951510779,0.02993511724650375,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
28,0.9983178852498836,0.0006030761383217416,0.9295789138223272,0.027656547731652967,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
29,0.9982369170319334,0.0006242645032140499,0.9219654758470902,0.030400518782870617,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
30,0.998321933671881,0.0006029271911698086,0.9219879817870508,0.02837651249896851,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
31,0.9982571591086209,0.000631412307934017,0.924743351865082,0.02972509836344064,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
32,0.9982834737683547,0.000619764735624729,0.929572483553767,0.0276391173317359,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
33,0.9983502725592637,0.0006013406835619615,0.9243093087372708,0.029173600642314806,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
